Time,Volume (in USD),Volume (in INR),Volume (in EUR)
1655931600,630606987.28,58906531075.24,597141739.88
1655935200,673873115.26,54955734152.51,638286922.11
1655938800,599508789.85,49195329609.68,567568589.91
1655942400,1495444437.58,120022541275.87,1414691868.61
1655946000,1058926198.71,94659168559.53,1002510747.67
1655949600,717851489.63,59313994598.71,679047218.72
1655953200,717918585.3,63891013758.27,679440393.82
1655956800,744555854.99,60736628140.06,704791866.7
1655960400,662788454.09,57451911753.83,627156660.94
1655964000,1089058188.7,97486702242.1,1030239404.97
1655967600,863844190.82,74337303595.27,822287167.17
1655971200,829610974.97,70246717144.25,790816212.8
1655974800,1110088157.4,93553438739.71,1055993104.91
1655978400,1042871956.25,88206399430.56,992947361.02
1655982000,719955695.84,63669512071.52,685034408.7
1655985600,1213487156.8,103761575086.77,1155074118.39
1655989200,1114828280.29,95787945233.13,1058160763.34
1655992800,1020920164.67,87129754814.79,969812317.84
1655996400,1060450482.43,91569043309.08,1009376491.2
1656000000,779026557.65,62118007004.65,741612287.49
1656003600,727977433.02,62963683647.45,693004484.2
1656007200,657122448.67,56519285296.07,624760673.84
1656010800,1242218311.3,110582803038.38,1180069877.4
1656014400,1179778010.61,107403944425.97,1121530465.17
1656018000,622564613.18,57024617015.02,591778654.55
